Model,AI,AH,B,VC,A,OS,SS,N,PC,ISA_Score
GPT-4o,2.0,1.3333333333333333,2.0,2.0,1.3333333333333333,2.5,2.2,2.0,1.5,1.8740740740740742
GPT-4o-mini,1.75,1.0,1.6,1.5,1.6666666666666667,2.0,1.2,1.5,1.0,1.4685185185185186
Qwen3-32b,1.75,1.3333333333333333,2.2,2.0,1.6666666666666667,1.5,1.6,1.75,2.0,1.7555555555555555
Qwen2.5-72b,1.5,1.0,2.0,1.5,1.0,1.0,1.6,1.75,1.5,1.4277777777777778
Gemini-2.5-Flash,2.0,2.3333333333333335,2.2,2.0,2.3333333333333335,2.5,2.2,2.25,2.0,2.201851851851852
Gemini-Flash-1.5,2.5,1.6666666666666667,3.0,3.0,2.3333333333333335,2.5,2.4,1.75,2.0,2.35
Gemma-3-4b-It,1.75,1.3333333333333333,1.8,1.5,1.3333333333333333,1.5,1.6,1.25,2.0,1.5629629629629629
Gemma-3-12b-It,1.75,2.0,2.4,2.0,1.6666666666666667,1.5,2.0,2.0,2.0,1.924074074074074
Mistral-Small-3.2-24b-Instruct,1.75,1.0,1.8,1.5,1.3333333333333333,2.0,1.4,1.75,1.5,1.5592592592592591
Mistral-Medium-3,1.75,1.3333333333333333,2.0,2.0,1.6666666666666667,2.0,1.8,2.0,1.5,1.7833333333333334
Mixtral-8x22B,1.5,1.6666666666666667,1.8,1.5,1.6666666666666667,1.5,2.0,1.5,1.5,1.6259259259259258
Llama-3.1-70b-Instruct,1.5,1.0,1.6,1.5,1.3333333333333333,1.5,1.8,1.5,2.5,1.5814814814814815
Llama-3.2-3b-Instruct,1.75,2.0,2.0,1.5,1.0,3.0,1.6,1.75,2.0,1.8444444444444446
Llama-4-Scout,1.75,1.6666666666666667,2.2,1.5,1.3333333333333333,2.0,1.6,2.25,1.5,1.7555555555555555
Command-R-Plus-08-2024,2.0,2.0,2.6,1.5,1.6666666666666667,2.5,2.4,1.75,2.0,2.046296296296296
Command,1.5,1.3333333333333333,1.8,1.5,1.6666666666666667,2.5,1.6,2.0,2.0,1.7666666666666666
Claude-Sonnet-4,2.0,2.0,2.2,2.5,1.6666666666666667,1.0,2.0,3.0,2.0,2.0407407407407407
Calude-Opus-4,2.0,1.3333333333333333,2.8,2.5,2.0,1.5,1.8,2.0,2.0,1.9925925925925927
Grok-4,2.25,1.6666666666666667,2.6,2.5,2.0,1.5,1.8,2.25,2.0,2.062962962962963
Phi-3-medium,2.0,1.3333333333333333,1.6,1.5,1.3333333333333333,2.5,1.2,1.5,2.5,1.7185185185185186
Gemini-2.0-flash Tag for GPT-4o,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gemini-2.0-flash Tag for GPT-4o-mini,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gemini-2.0-flash Tag for Qwen3-32b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gemini-2.0-flash Tag for Qwen2.5-72b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gemini-2.0-flash Tag for Gemini-2.5-Flash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gemini-2.0-flash Tag for Gemini-Flash-1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gemini-2.0-flash Tag for Gemma-3-4b-It,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gemini-2.0-flash Tag for Gemma-3-12b-It,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gemini-2.0-flash Tag for Mistral-Small-3.2-24b-Instruct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gemini-2.0-flash Tag for Mistral-Medium-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gemini-2.0-flash Tag for Mixtral-8x22B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gemini-2.0-flash Tag for Llama-3.1-70b-Instruct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gemini-2.0-flash Tag for Llama-3.2-3b-Instruct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gemini-2.0-flash Tag for Llama-4-Scout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gemini-2.0-flash Tag for Command-R-Plus-08-2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gemini-2.0-flash Tag for Command,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gemini-2.0-flash Tag for Claude-Sonnet-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gemini-2.0-flash Tag for Calude-Opus-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gemini-2.0-flash Tag for Grok-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gemini-2.0-flash Tag for Phi-3-medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude-3-7-Sonnet Tag for GPT-4o,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude-3-7-Sonnet Tag for GPT-4o-mini,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude-3-7-Sonnet Tag for Qwen3-32b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude-3-7-Sonnet Tag for Qwen2.5-72b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude-3-7-Sonnet Tag for Gemini-2.5-Flash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude-3-7-Sonnet Tag for Gemini-Flash-1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude-3-7-Sonnet Tag for Gemma-3-4b-It,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
